"Date","Price","Open","High","Low","Change %"
"Feb 19, 2014","1.3733","1.3757","1.3774","1.3724","-0.18"
"Feb 20, 2014","1.3718","1.3733","1.3763","1.3685","-0.11"
"Feb 21, 2014","1.3740","1.3720","1.3760","1.3704","0.16"
"Feb 24, 2014","1.3735","1.3735","1.3770","1.3708","-0.04"
"Feb 25, 2014","1.3746","1.3735","1.3767","1.3714","0.08"
"Feb 26, 2014","1.3688","1.3744","1.3758","1.3661","-0.42"
"Feb 27, 2014","1.3709","1.3687","1.3727","1.3642","0.15"
"Feb 28, 2014","1.3803","1.3708","1.3824","1.3693","0.69"
"Mar 03, 2014","1.3735","1.3786","1.3793","1.3725","-0.49"
"Mar 04, 2014","1.3744","1.3735","1.3782","1.3720","0.07"
"Mar 05, 2014","1.3733","1.3742","1.3746","1.3706","-0.08"
"Mar 06, 2014","1.3861","1.3734","1.3874","1.3723","0.93"
"Mar 07, 2014","1.3878","1.3860","1.3917","1.3854","0.12"
"Mar 10, 2014","1.3877","1.3875","1.3898","1.3861","-0.01"
"Mar 11, 2014","1.3859","1.3874","1.3880","1.3832","-0.13"
"Mar 12, 2014","1.3904","1.3859","1.3914","1.3841","0.32"
"Mar 13, 2014","1.3869","1.3903","1.3968","1.3844","-0.25"
"Mar 14, 2014","1.3914","1.3866","1.3937","1.3847","0.32"
"Mar 17, 2014","1.3922","1.3911","1.3949","1.3879","0.06"
"Mar 18, 2014","1.3934","1.3921","1.3942","1.3880","0.09"
"Mar 19, 2014","1.3833","1.3933","1.3935","1.3809","-0.72"
"Mar 20, 2014","1.3779","1.3832","1.3845","1.3749","-0.39"
"Mar 21, 2014","1.3794","1.3779","1.3813","1.3767","0.11"
"Mar 24, 2014","1.3839","1.3792","1.3876","1.3760","0.33"
"Mar 25, 2014","1.3827","1.3839","1.3848","1.3750","-0.09"
"Mar 26, 2014","1.3783","1.3827","1.3829","1.3777","-0.32"
"Mar 27, 2014","1.3740","1.3781","1.3798","1.3729","-0.31"
"Mar 28, 2014","1.3753","1.3740","1.3773","1.3705","0.09"
"Mar 31, 2014","1.3771","1.3755","1.3807","1.3734","0.13"
"Apr 01, 2014","1.3794","1.3769","1.3817","1.3767","0.17"
"Apr 02, 2014","1.3767","1.3792","1.3821","1.3752","-0.20"
"Apr 03, 2014","1.3720","1.3768","1.3807","1.3699","-0.34"
"Apr 04, 2014","1.3703","1.3719","1.3732","1.3672","-0.12"
